Artikelnr;Artikel Bezeichnung 1;Artikel Bezeichnung 2;Artikel Bezeichnung3;Lieferant;Hersteller;Lief. Artikelnr;Lief. Artikel Bezeichnung 1;Lief. Artikel Bezeichnung 2;Lief. Artikel Bezeichnung 3
1069331;LGHP2/0.4;SKF-Hochleistungs-Fett VE=12;;Concar;SKF;LGHP2/04SKF;LGHP2/0.4;SKF-Hochleistungs-Fett VE=12;
1069331;LGHP2/0.4;SKF-Hochleistungs-Fett VE=12;;Concar;SKF;100LGHP 2/0.4;LGHP2/0.4;SKF-Hochleistungs-Fett VE=12;
1069331;LGHP2/0.4;SKF-Hochleistungs-Fett VE=12;;Concar;SKF;1069331;LGHP2/0.4;SKF-Hochleistungs-Fett VE=12;
1069332;LGMT2/0.4;SKF-Fett;;Concar;SKF;LGMT2/04SKF;LGMT2/0.4;SKF-Fett;
1069332;LGMT2/0.4;SKF-Fett;;Concar;SKF;100LGMT 2/0.4;LGMT 2/0.4;SKF-Fett;
1069326;LGEP2/0.4;SKF-Fett 400g;;Concar;SKF;LGEP2/04SKF;LGEP2/04SKF;SKF-Fett 400g;
1069326;LGEP2/0.4;SKF-Fett 400g;;Concar;SKF;100LGEP 2/0.4;*;SKF-Fett 400g;
1108135;4L850;SKF Gardenpower;;Concar;SKF;4L850;4L - 850;ConCar Keilriemen,GardenPower,;
1108135;4L850;SKF Gardenpower;;Concar;SKF;1108135;4L850;ConCar GardenPower Kupplungsriemen;LA=2159 mm
1073124;40X62X7 HMSA10RG BASL;Wellendichtring mit Staublippe;NULL;Concar;SKF;40X62X7HMSA10RG;40X62X7 HMSA10RG BASL;Wellendichtring mit Staublippe;NULL
1073124;40X62X7 HMSA10RG BASL;Wellendichtring mit Staublippe;NULL;Concar;SKF;1073124;40X62X7 HMSA10RG BASL;Wellendichtring mit Staublippe;NULL
1073124;40X62X7 HMSA10RG BASL;Wellendichtring mit Staublippe;NULL;Concar;SKF;1073124;*;Wellendichtring mit Staublippe;NULL
1073124;40X62X7 HMSA10RG BASL;Wellendichtring mit Staublippe;NULL;Concar;SKF;1073124;40X62X7 HMSA10RG BASL;Wellendichtring mit Staublippe;NULL
