Art.Nr.;Art.bez.1;Art.bez.2;Verwendung;Herst.Art.Nr.;Preiseinheit;Basis Einheit;Prod.grp. Bez.;War.grp. Bez.;Art.grp. Bez.
1000017;EPDM-Wasserschl. 13x3/3,5, 20 bar, RL=40m;Gummi, schwarz m. gelben o.roten Streifen, ;"EINK;VERK;SHOP";;1;m;Schläuche;Wasserschlauch;Gummi mit Gewebeeinlage EPDM
1000022;EPDM-Wasserschl. 19x4, 20 bar, RL=40m;Gummi, schwarz m. gelben o.roten Streifen, ;"EINK;VERK;SHOP";;1;m;Schläuche;Wasserschlauch;Gummi mit Gewebeeinlage EPDM
1000024;EPDM-Wasserschl. 25x4,5, 20 bar, RL=40m;Gummi, schwarz m. gelben o.roten Streifen, ;"EINK;VERK;SHOP";;1;m;Schläuche;Wasserschlauch;Gummi mit Gewebeeinlage EPDM
1000025;Goldschlange-Schlauch, 13x3,5, RL=40m;Gummi-Wasserschlauch, 30 bar;"EINK;VERK;SHOP";;1;m;Schläuche;Wasserschlauch;Gummi mit Gewebeeinlage Goldschlange
1000050;Pressl.06X3,5.16bar-40;Pressluftschlauch 06x3,5 mm schwarz;"EINK;VERK;SHOP";;1;m;Schläuche;Luft- und Gasschläuche;Preßluftschläuche aus Gummi schwarz
1000055;Pressl.09X3,5.16bar-40;Pressluftschlauch 09x3,5 mm schwarz;"EINK;VERK;SHOP";;1;m;Schläuche;Luft- und Gasschläuche;Preßluftschläuche aus Gummi schwarz
1000089;Bremsschlauch 13x6,0 mm schwarz VE40;Rolle: 40 m, 10 bar, DIN 74311;"EINK;VERK;SHOP";;1;m;Schläuche;Luft- und Gasschläuche;Bremsschläuche
1000097;Industrieschlauch 038x6 mm schwarz Rolle: 40 m;10 bar BD, -30/+70°C, SBR, für Frisch-/Schmutz-;"EINK;VERK;SHOP";;1;m;Schläuche;Wasserschlauch;Gummi mit Gewebeeinlage Industrie
1000189;Dampfschlauch 13x5,5 mm Niederdruck schwarz-40;Rolle: 40m, EPDM, max. 7 bar BD/+ 164°C (Dampf);"EINK;VERK;SHOP";;1;m;Schläuche;Heißwasser- u. Dampfschläuche;Niederdruck-Dampfschläuche schwarz
1000251;Sandstrahlschl. 25x7mm DIN 53516 VE 40m;BD: 12 bar,-30/+80°C, Widerst:<10 hoch 6 Ohm;"EINK;VERK;SHOP";;1;m;Schläuche;Abriebfeste Gummischläuche;Sandstrahlschläuche
1000298;Kraftstoffschlauch 04x2,5mm Textilumfl. VE20;DIN 73379/1982, Ausf.B, NBR schwarz,;"EINK;VERK;SHOP";;1;m;Schläuche;Öl- und Benzinschlauch;Kraftstoffschläuche m. Umflechtung
1000304;Kraftstoffschlauch 06x2,5mm Textilumfl. VE20;DIN 73379/1982, Ausf.B, NBR schwarz,;"EINK;VERK;SHOP";;1;m;Schläuche;Öl- und Benzinschlauch;Kraftstoffschläuche m. Umflechtung
1000309;Kraftstoffschlauch 08x2,5mm Textilumfl. VE20;DIN 73379/1982, Ausf.B, NBR schwarz,;"EINK;VERK;SHOP";;1;m;Schläuche;Öl- und Benzinschlauch;Kraftstoffschläuche m. Umflechtung
1000316;Kraftstoffschlauch 10x2,5mm Textilumfl. VE20;DIN 73379/1982, Ausf.B, NBR schwarz,;"EINK;VERK;SHOP";;1;m;Schläuche;Öl- und Benzinschlauch;Kraftstoffschläuche m. Umflechtung
1000324;Zapfstellenschlauch 19x6mm VE50;BD:16bar, -20/+55°C, antist., für Öle m.;"EINK;VERK;SHOP";;1;m;Schläuche;Öl- und Benzinschlauch;Gummi mit Gewebeeinlage
1000383;Silikonschlauch 03x1,5mm natur RL=25m;Temperaturb.: -60/+200°C;"EINK;VERK;SHOP";;1;m;Schläuche;Gummischläuche diverse;Silikonschläuche ohne Gewebeeinlage
1000454;Kühlerschl. 013x3,5mm /DIN, VE1;4 bar BD, -30/+120°C, EPDM, DIN 73411;"EINK;VERK;SHOP";;1;St.;Schläuche;Heißwasser- u. Dampfschläuche;Kühlwasserschläuche Meterstücke
1000463;Kühlerschl. 022x3,5mm /DIN, VE1;4 bar BD, -30/+120°C, EPDM, DIN 73411;"EINK;VERK;SHOP";;1;St.;Schläuche;Heißwasser- u. Dampfschläuche;Kühlwasserschläuche Meterstücke
1000465;Kühlerschl. 025x3,5mm /DIN, VE1;4 bar BD, -30/+120°C, EPDM, DIN 73411;"EINK;VERK;SHOP";;1;St.;Schläuche;Heißwasser- u. Dampfschläuche;Kühlwasserschläuche Meterstücke
1000473;Kühlerschl. 035x4mm /DIN, VE1;4 bar BD, -30/+120°C, EPDM, DIN 73411;"EINK;VERK;SHOP";;1;St.;Schläuche;Heißwasser- u. Dampfschläuche;Kühlwasserschläuche Meterstücke
1000474;Kühlerschl. 035x4mm /DIN, VE40;4 bar BD, -30/+120°C, EPDM, DIN 73411;"EINK;VERK;SHOP";;1;m;Schläuche;Heißwasser- u. Dampfschläuche;Kühlwasserschläuche Rollenware
1000480;Kühlerschl. 042x5mm /DIN, VE1;4 bar BD, -30/+120°C, EPDM, DIN 73411;"EINK;VERK;SHOP";;1;St.;Schläuche;Heißwasser- u. Dampfschläuche;Kühlwasserschläuche Meterstücke
1000486;Kühlerschl. 050x5mm /DIN, VE1;4 bar BD, -30/+120°C, EPDM, DIN 73411;"EINK;VERK;SHOP";;1;St.;Schläuche;Heißwasser- u. Dampfschläuche;Kühlwasserschläuche Meterstücke
1000489;Kühlerschl. 060x5mm /DIN, VE1;4 bar BD, -30/+120°C, EPDM, DIN 73411;"EINK;VERK;SHOP";;1;St.;Schläuche;Heißwasser- u. Dampfschläuche;Kühlwasserschläuche Meterstücke
1000499;Kühlerschl. 090x6mm /DIN, VE1;4 bar BD, -30/+120°C, EPDM, DIN 73411;"EINK;VERK;SHOP";;1;St.;Schläuche;Heißwasser- u. Dampfschläuche;Kühlwasserschläuche Meterstücke
1000530;Kühlerschl. 20-25mm Tubano VE1;Tubano-Nr. 20, Länge: 1m;"EINK;VERK;SHOP";;1;St.;Schläuche;Heißwasser- u. Dampfschläuche;Kühlwasserschläuche flexibel
1000533;Kühlerschl. 31,5-36mm Tubano VE1;Tubano-Nr. 31,5, Länge 1m;"EINK;VERK;SHOP";;1;St.;Schläuche;Heißwasser- u. Dampfschläuche;Kühlwasserschläuche flexibel
1000534;Kühlerschl. 33,5-38mm Tubano VE1;Tubano-Nr. 33,5, Länge 1m;"EINK;VERK;SHOP";;1;St.;Schläuche;Heißwasser- u. Dampfschläuche;Kühlwasserschläuche flexibel
1000536;Kühlerschl. 44-48mm Tubano VE1;Tubano-Nr. 44, Länge: 1m;"EINK;VERK;SHOP";;1;St.;Schläuche;Heißwasser- u. Dampfschläuche;Kühlwasserschläuche flexibel
1000540;Kühlerschl. 65-75mm Tubano VE 1;Tubano-Nr. 65, Länge: 1m;"EINK;VERK;SHOP";;1;St.;Schläuche;Heißwasser- u. Dampfschläuche;Kühlwasserschläuche flexibel
1000581;PVC Schlauch 4x1 mm, transparent;Innendurchmesser 4 mm, Wandstärke 1 mm, Außendurchmesser 6 mm, RL100;"EINK;VERK;SHOP";;100;m;Schläuche;PVC Schlauch; 
1000584;PVC Schlauch 5x1,5 mm, transparent;Innendurchmesser 5 mm, Wandstärke 1,5 mm, Außendurchmesser 8 mm, RL100;"EINK;VERK;SHOP";;100;m;Schläuche;PVC Schlauch; 
1000586;PVC Schlauch 6x2 mm, transparent;Innendurchmesser 6 mm, Wandstärke 2 mm, Außendurchmesser 10 mm, RL50;"EINK;VERK;SHOP";;100;m;Schläuche;PVC Schlauch; 
1000592;PVC Schlauch 8x2 mm, transparent;Innendurchmesser 8 mm, Wandstärke 2 mm, Außendurchmesser 12 mm, RL50;"EINK;VERK;SHOP";;100;m;Schläuche;PVC Schlauch; 
1000593;PVC Schlauch 8x3 mm, transparent;Innendurchmesser 8 mm, Wandstärke 3 mm, Außendurchmesser 14 mm, RL50;"EINK;VERK;SHOP";;100;m;Schläuche;PVC Schlauch; 
1000605;PVC Schlauch 14x2 mm, transparent;Innendurchmesser 14 mm, Wandstärke 2 mm, Außendurchmesser 18 mm, RL50;"EINK;VERK;SHOP";;100;m;Schläuche;PVC Schlauch; 
1000609;PVC Schlauch 16x2,5 mm, transparent;Innendurchmesser 16 mm, Wandstärke 2,5 mm, Außendurchmesser 21 mm, RL50;"EINK;VERK;SHOP";;100;m;Schläuche;PVC Schlauch; 
1000613;PVC Schlauch 19x2,5 mm, transparent;Innendurchmesser 19 mm, Wandstärke 2,5 mm, Außendurchmesser 24 mm, RL50;"EINK;VERK;SHOP";;100;m;Schläuche;PVC Schlauch; 
1000646;PVC Gewebeschlauch 4x3 mm, transparent;Innendurchmesser 4 mm, Wandstärke 3 mm, Außendurchmesser 10 mm, RL50;"EINK;VERK;SHOP";;100;m;Schläuche;PVC Gewebeschlauch; 
1000647;PVC Gewebeschlauch 5x3 mm, transparent;Innendurchmesser 5 mm, Wandstärke 3 mm, Außendurchmesser 11 mm, RL50;"EINK;VERK;SHOP";;100;m;Schläuche;PVC Gewebeschlauch; 
1000649;PVC Gewebeschlauch 6x3 mm, transparent;Innendurchmesser 6 mm, Wandstärke 3 mm, Außendurchmesser 12 mm, RL50;"EINK;VERK;SHOP";;100;m;Schläuche;PVC Gewebeschlauch; 
1000650;PVC Gewebeschlauch 8x3 mm, transparent;Innendurchmesser 8 mm, Wandstärke 3 mm, Außendurchmesser 14 mm, RL50;"EINK;VERK;SHOP";;100;m;Schläuche;PVC Gewebeschlauch; 
1000652;PVC Gewebeschlauch 9x3 mm, transparent;Innendurchmesser 9 mm, Wandstärke 3 mm, Außendurchmesser 15 mm, RL50;"EINK;VERK;SHOP";;100;m;Schläuche;PVC Gewebeschlauch; 
1000653;PVC Gewebeschlauch 10x3 mm, transparent;Innendurchmesser 10 mm, Wandstärke 3 mm, Außendurchmesser 16 mm, RL50;"EINK;VERK;SHOP";;100;m;Schläuche;PVC Gewebeschlauch; 
1000655;PVC Gewebeschlauch 12x4,5 mm, transparent;Innendurchmesser 12 mm, Wandstärke 4,5 mm, Außendurchmesser 21 mm, RL50;"EINK;VERK;SHOP";;100;m;Schläuche;PVC Gewebeschlauch; 
1000657;PVC Gewebeschlauch 13x3,5 mm, transparent;Innendurchmesser 13 mm, Wandstärke 3,5 mm, Außendurchmesser 20 mm, RL50;"EINK;VERK;SHOP";;100;m;Schläuche;PVC Gewebeschlauch; 
1000660;PVC Gewebeschlauch 16x4 mm, transparent;Innendurchmesser 16 mm, Wandstärke 4 mm, Außendurchmesser 24 mm, RL50;"EINK;VERK;SHOP";;100;m;Schläuche;PVC Gewebeschlauch; 
1000661;PVC Gewebeschlauch 19x3,5 mm, transparent;Innendurchmesser 19 mm, Wandstärke 3,5 mm, Außendurchmesser 26 mm, RL50;"EINK;VERK;SHOP";;100;m;Schläuche;PVC Gewebeschlauch; 
1000662;PVC Gewebeschlauch 19x4 mm, transparent;Innendurchmesser 19 mm, Wandstärke 4 mm, Außendurchmesser 27 mm, RL50;"EINK;VERK;SHOP";;100;m;Schläuche;PVC Gewebeschlauch; 
1000663;PVC Gewebeschlauch 25x4,5 mm, transparent;Innendurchmesser 25 mm, Wandstärke 4,5 mm, Außendurchmesser 34 mm, RL25;"EINK;VERK;SHOP";;100;m;Schläuche;PVC Gewebeschlauch; 
1000666;PVC Gewebeschlauch 30x4 mm, transparent;Innendurchmesser 30 mm, Wandstärke 4 mm, Außendurchmesser 38 mm, RL25;"EINK;VERK;SHOP";;100;m;Schläuche;PVC Gewebeschlauch; 
1000670;PVC Gewebeschlauch 38x5 mm, transparent;Innendurchmesser 38 mm, Wandstärke 5 mm, Außendurchmesser 48 mm, RL25;"EINK;VERK;SHOP";;100;m;Schläuche;PVC Gewebeschlauch; 
1000703;"PVC-Wasserschlauch 1/2"" gelb Profi VE50";13 mm I-Ø, Rolle = 50 m,;"EINK;VERK;SHOP";;1;m;Schläuche;Wasserschlauch;Kunststoff mit Gewebe gelb
1000707;"PVC-Wasserschlauch 3/4"" gelb Profi VE25";19 mm I-Ø, Rolle = 25 m,;"EINK;VERK;SHOP";;1;m;Schläuche;Wasserschlauch;Kunststoff mit Gewebe gelb
1000708;"PVC-Wasserschlauch 3/4"" gelb Profi VE50";19 mm I-Ø, Rolle = 50 m,;"EINK;VERK;SHOP";;1;m;Schläuche;Wasserschlauch;Kunststoff mit Gewebe gelb
1000743;PTFE-Schlauch 10/08 Øx1mm weiss VE50;Temp: -160/+250°C, Teflon, virginal;"EINK;VERK;SHOP";;1;m;Schläuche;PA-, PE-, PTFE-, PU-Pneumatikschläuche;PTFE- (Teflon) Schläuche
1000757;PA-Schlauch 06/04 Øx1mm schwarz VE50;Polyamid-Druckluftschlauch, Rolle: 50m;"EINK;VERK;SHOP";;100;m;Schläuche;PA-, PE-, PTFE-, PU-Pneumatikschläuche;PA- (Polyamid) Schläuche
1000769;PA-Schlauch 11,5/09 Øx1,25mm natur VE50;Polyamid-Druckluftschlauch, Rolle: 50m;"EINK;VERK;SHOP";;100;m;Schläuche;PA-, PE-, PTFE-, PU-Pneumatikschläuche;PA- (Polyamid) Schläuche
1000770;PA-Schlauch 12/10 Øx1mm natur VE50;Polyamid-Druckluftschlauch, Rolle: 50m;"EINK;VERK;SHOP";;100;m;Schläuche;PA-, PE-, PTFE-, PU-Pneumatikschläuche;PA- (Polyamid) Schläuche
1000784;PE-Schlauch 04/02 Øx1mm natur VE50;Polyethylen-Druckluftschlauch, Rolle: 50m;"EINK;VERK;SHOP";;100;m;Schläuche;PA-, PE-, PTFE-, PU-Pneumatikschläuche;PE- (Polyethylen) Schläuche
1000787;PE-Schlauch 06/04 Øx1mm natur VE50;Polyethylen-Druckluftschlauch, Rolle: 50m;"EINK;VERK;SHOP";;100;m;Schläuche;PA-, PE-, PTFE-, PU-Pneumatikschläuche;PE- (Polyethylen) Schläuche
1000788;PE-Schlauch 08/05 Øx1,5mm natur VE50;Polyethylen-Druckluftschlauch, Rolle: 50m;"EINK;VERK;SHOP";;100;m;Schläuche;PA-, PE-, PTFE-, PU-Pneumatikschläuche;PE- (Polyethylen) Schläuche
1000790;PE-Schlauch 08/06 Øx1mm natur VE50;Polyethylen-Druckluftschlauch, Rolle: 50m;"EINK;VERK;SHOP";;100;m;Schläuche;PA-, PE-, PTFE-, PU-Pneumatikschläuche;PE- (Polyethylen) Schläuche
1000795;PE-Schlauch 12/08 Øx2mm natur VE50;Polyethylen-Druckluftschlauch, Rolle: 50m;"EINK;VERK;SHOP";;100;m;Schläuche;PA-, PE-, PTFE-, PU-Pneumatikschläuche;PE- (Polyethylen) Schläuche
1000805;PU-Schlauch 04/02 Øx1mm schwarz VE50;Polyurethan-Druckluftschlauch, Rolle: 50m;"EINK;VERK;SHOP";;100;m;Schläuche;PA-, PE-, PTFE-, PU-Pneumatikschläuche;PU- (Polyurethan) Schläuche
1000955;PVC-Spiralschlauch 100mm grau/St.Vac-M.VE10;Absaugschlauch grau, Innen-Ø 100 mm,;"EINK;VERK;SHOP";;1;m;Schläuche;Absaugschläuche;PVC leicht, mit Stahlspirale
1001000;Staubsaugerschlauch 032mm I-Ø, schwarz, VE15,;PVC mit Stahlspirale u. Fadenverstärkung,;"EINK;VERK;SHOP";;1;m;Schläuche;Absaugschläuche;PVC mit Stahlspirale
1001003;Staubsaugerschlauch 038mm I-Ø, schwarz, VE15,;PVC mit Stahlspirale u. Fadenverstärkung,;"EINK;VERK;SHOP";;1;m;Schläuche;Absaugschläuche;PVC mit Stahlspirale
1001006;Staubsaugerschlauch 051mm I-Ø, schwarz, VE15,;PVC mit Stahlspirale u. Fadenverstärkung,;"EINK;VERK;SHOP";;1;m;Schläuche;Absaugschläuche;PVC mit Stahlspirale
1001009;PVC-Spiralschlauch 013mm grün/trp VE50;Saug+Druckschlauch PVC grün-transparent,;"EINK;VERK;SHOP";;1;m;Schläuche;Wasserschläuche mit Spirale;PVC mit Kunststoffspirale, grün-transparent
1001010;PVC-Spiralschlauch 019mm grün/trp VE50;Saug+Druckschlauch PVC grün-transparent,;"EINK;VERK;SHOP";;1;m;Schläuche;Wasserschläuche mit Spirale;PVC mit Kunststoffspirale, grün-transparent
1001012;PVC-Spiralschlauch 025mm grün/trp VE50;Saug+Druckschlauch PVC grün-transparent,;"EINK;VERK;SHOP";;1;m;Schläuche;Wasserschläuche mit Spirale;PVC mit Kunststoffspirale, grün-transparent
1001013;PVC-Spiralschlauch 032mm grün/trp VE50;Saug+Druckschlauch PVC grün-transparent,;"EINK;VERK;SHOP";;1;m;Schläuche;Wasserschläuche mit Spirale;PVC mit Kunststoffspirale, grün-transparent
1001014;PVC-Spiralschlauch 038mm grün/trp VE50;Saug+Druckschlauch PVC grün-transparent,;"EINK;VERK;SHOP";;1;m;Schläuche;Wasserschläuche mit Spirale;PVC mit Kunststoffspirale, grün-transparent
1001016;PVC-Spiralschlauch 050mm grün/trp VE50;Saug+Druckschlauch PVC grün-transparent,;"EINK;VERK;SHOP";;1;m;Schläuche;Wasserschläuche mit Spirale;PVC mit Kunststoffspirale, grün-transparent
1001056;PVC-Spiralschlauch 102mm transp./St.VE20;Saug+Druckschlauch PVC transparent,;"EINK;VERK;SHOP";;1;m;Schläuche;Wasserschläuche mit Spirale;PVC m. Stahlspirale, transparent
1001297;Endstutzen 32mm schwarz Linksgew.;PVC-Endstutzen f. Staubsaugerschl.;"EINK;VERK;SHOP";;1;St.;Schläuche;Absaugschläuche;Zubehör
1001596;Storz D Saugkupplung mit Schlauchstutzen Durchmesser 13 mm;Knaggenabstand 31 mm, Aluminium;"EINK;VERK;SHOP";;1;St.;Fluidtechnik;Anschlußtechnik;Kupplungen
1001597;Storz-KUPPLUNG T 019MM KA031/D Alu;Saug-/Druckkupplung mit Schlauchstutzen;"EINK;VERK;SHOP";;1;St.;Fluidtechnik;Anschlußtechnik;Feuerlöschtechnik
1001598;Storz C Saugkupplung mit Schlauchstutzen Durchmesser 19 mm;Knaggenabstand 66 mm, Aluminium;"EINK;VERK;SHOP";;1;St.;Fluidtechnik;Anschlußtechnik;Kupplungen
1001599;Storz D Saugkupplung mit Schlauchstutzen Durchmesser 25 mm;Knaggenabstand 31 mm, Aluminium;"EINK;VERK;SHOP";;1;St.;Fluidtechnik;Anschlußtechnik;Kupplungen
1001601;Storz C Saugkupplung mit Schlauchstutzen Durchmesser 25 mm;Knaggenabstand 66 mm, Aluminium;"EINK;VERK;SHOP";;1;St.;Fluidtechnik;Anschlußtechnik;Kupplungen
1001602;Storz C Saugkupplung mit Schlauchstutzen Durchmesser 32 mm;Knaggenabstand 66 mm, Aluminium;"EINK;VERK;SHOP";;1;St.;Fluidtechnik;Anschlußtechnik;Kupplungen
1001609;Storz C Saugkupplung mit Schlauchstutzen Durchmesser 52 mm;Knaggenabstand 66 mm, Aluminium;"EINK;VERK;SHOP";;1;St.;Fluidtechnik;Anschlußtechnik;Kupplungen
1001613;Storz B Saugkupplung mit Schlauchstutzen Durchmesser 75 mm;Knaggenabstand 89 mm, Aluminium;"EINK;VERK;SHOP";;1;St.;Fluidtechnik;Anschlußtechnik;Kupplungen
1001625;Storz D Festkupplung mit Außengewinde 1 Zoll;Knaggenabstand 31 mm, Aluminium;"EINK;VERK;SHOP";;1;St.;Fluidtechnik;Anschlußtechnik;Kupplungen
1001629;Storz C Festkupplung mit Außengewinde 1 1/4 Zoll;Knaggenabstand 66 mm, Aluminium;"EINK;VERK;SHOP";;1;St.;Fluidtechnik;Anschlußtechnik;Kupplungen
1001630;Storz C Festkupplung mit Außengewinde 2 Zoll;Knaggenabstand 66 mm, Aluminium;"EINK;VERK;SHOP";;1;St.;Fluidtechnik;Anschlußtechnik;Kupplungen
1001631;Storz B Festkupplung mit Außengewinde 2 Zoll;Knaggenabstand 89 mm, Aluminium;"EINK;VERK;SHOP";;1;St.;Fluidtechnik;Anschlußtechnik;Kupplungen
1001632;Storz C Festkupplung mit Außengewinde 2 1/2 Zoll;Knaggenabstand 66 mm, Aluminium;"EINK;VERK;SHOP";;1;St.;Fluidtechnik;Anschlußtechnik;Kupplungen
1001634;Storz B Festkupplung mit Außengewinde 3 Zoll;Knaggenabstand 89 mm, Aluminium;"EINK;VERK;SHOP";;1;St.;Fluidtechnik;Anschlußtechnik;Kupplungen
1001635;Storz A Festkupplung mit Außengewinde 4 Zoll;Knaggenabstand 133 mm, Aluminium;"EINK;VERK;SHOP";;1;St.;Fluidtechnik;Anschlußtechnik;Kupplungen
1001638;Storz D Festkupplung mit Innengewinde 1 Zoll;Knaggenabstand 31 mm, Aluminium;"EINK;VERK;SHOP";;1;St.;Fluidtechnik;Anschlußtechnik;Kupplungen
1001640;Storz C Festkupplung mit Innengewinde 1 Zoll;Knaggenabstand 66 mm, Aluminium;"EINK;VERK;SHOP";;1;St.;Fluidtechnik;Anschlußtechnik;Kupplungen
1001641;Storz C Festkupplung mit Innengewinde 1 1/2 Zoll;Knaggenabstand 66 mm, Aluminium;"EINK;VERK;SHOP";;1;St.;Fluidtechnik;Anschlußtechnik;Kupplungen
1001642;Storz C Festkupplung mit Innengewinde 1 1/4 Zoll;Knaggenabstand 66 mm, Aluminium;"EINK;VERK;SHOP";;1;St.;Fluidtechnik;Anschlußtechnik;Kupplungen
1001643;Storz D Festkupplung mit Innengewinde 1/2 Zoll;Knaggenabstand 31 mm, Aluminium;"EINK;VERK;SHOP";;1;St.;Fluidtechnik;Anschlußtechnik;Kupplungen
1001644;Storz C Festkupplung mit Innengewinde 2 Zoll;Knaggenabstand 66 mm, Aluminium;"EINK;VERK;SHOP";;1;St.;Fluidtechnik;Anschlußtechnik;Kupplungen
1001647;Storz B Festkupplung mit Innengewinde 2 Zoll;Knaggenabstand 89 mm, Aluminium;"EINK;VERK;SHOP";;1;St.;Fluidtechnik;Anschlußtechnik;Kupplungen
1001648;Storz C Festkupplung mit Innengewinde 2 1/2 Zoll;Knaggenabstand 66 mm, Aluminium;"EINK;VERK;SHOP";;1;St.;Fluidtechnik;Anschlußtechnik;Kupplungen
1001649;Storz B Festkupplung mit Innengewinde 2 1/2 Zoll;Knaggenabstand 89 mm, Aluminium;"EINK;VERK;SHOP";;1;St.;Fluidtechnik;Anschlußtechnik;Kupplungen
1001651;Storz B Festkupplung mit Innengewinde 3 Zoll;Knaggenabstand 89 mm, Aluminium;"EINK;VERK;SHOP";;1;St.;Fluidtechnik;Anschlußtechnik;Kupplungen
1001653;Storz D Festkupplung mit Innengewinde 3/4 Zoll;Knaggenabstand 31 mm, Aluminium;"EINK;VERK;SHOP";;1;St.;Fluidtechnik;Anschlußtechnik;Kupplungen
1001655;Storz A Festkupplung mit Innengewinde 4 Zoll;Knaggenabstand 133 mm, Aluminium;"EINK;VERK;SHOP";;1;St.;Fluidtechnik;Anschlußtechnik;Kupplungen
1001662;Storz A auf B Übergangsstück;Knaggenabstand 133 mm / 89 mm, Aluminium;"EINK;VERK;SHOP";;1;St.;Fluidtechnik;Anschlußtechnik;Kupplungen
1001665;Storz B auf C Übergangsstück;Knaggenabstand 89 mm / 66 mm, Aluminium;"EINK;VERK;SHOP";;1;St.;Fluidtechnik;Anschlußtechnik;Kupplungen
1001670;Storz-ÜBERGANGSSTÜCK C/GEKA (KA52/GEKA) ALU/MS;Storz UEBER.C-GK;"EINK;VERK;SHOP";;1;St.;Fluidtechnik;Anschlußtechnik;Feuerlöschtechnik
1001674;Storz B Blindkupplung mit Kette;Knaggenabstand 89 mm, Aluminium;"EINK;VERK;SHOP";;1;St.;Fluidtechnik;Anschlußtechnik;Kupplungen
1001676;Storz C Blindkupplung mit Kette;Knaggenabstand 66 mm, Aluminium;"EINK;VERK;SHOP";;1;St.;Fluidtechnik;Anschlußtechnik;Kupplungen
1001679;Storz D Blindkupplung mit Kette;Knaggenabstand 31 mm, Aluminium;"EINK;VERK;SHOP";;1;St.;Fluidtechnik;Anschlußtechnik;Kupplungen
1001687;Storz-SCHLÜSSEL TYP A TEMPERGUSS DIN 3223;Überflur-Hydrantenschlüssel;"EINK;VERK;SHOP";;1;St.;Fluidtechnik;Anschlußtechnik;Feuerlöschtechnik
1001688;Storz-SCHLÜSSEL ABC STAHL M. KÄLTESCHUTZ;Kupplungsschlüssel DIN 14822 ;"EINK;VERK;SHOP";;1;St.;Fluidtechnik;Anschlußtechnik;Feuerlöschtechnik
1001689;Storz-Schlüssel ABC Temperguss Kupplungsschlüssel;Storz SCHL.ABC-TG;"EINK;VERK;SHOP";;1;St.;Fluidtechnik;Anschlußtechnik;Feuerlöschtechnik
1001690;Storz-SCHLÜSSEL BC STAHL M. KÄLTESCHUTZ;Kupplungsschlüssel DIN 14822;"EINK;VERK;SHOP";;1;St.;Fluidtechnik;Anschlußtechnik;Feuerlöschtechnik
1001691;Storz-SCHLÜSSEL BC TEMPERGUSS Kupplungsschlüssel;Storz SCHL.BC-TG;"EINK;VERK;SHOP";;1;St.;Fluidtechnik;Anschlußtechnik;Feuerlöschtechnik
1001700;Storz-STRAHLROHR C ABSPERRBAR ALU;Storz STRAHL.C;"EINK;VERK;SHOP";;1;St.;Fluidtechnik;Anschlußtechnik;Feuerlöschtechnik
1001702;Storz D Mehrzweckstrahlrohr DM Aluminium;Düse Durchmesser 6 mm, Mundstück Durchmesser 4 mm;"EINK;VERK;SHOP";;1;St.;Fluidtechnik;Anschlußtechnik; 
1001732;Storz-DICHTUNG B/KA089 NBR DIN 14322;Saug-/Druckdichtung B-75 ;"EINK;VERK;SHOP";;1;St.;Fluidtechnik;Anschlußtechnik;Feuerlöschtechnik
1001735;Storz-DICHTUNG C/KA066 NBR;Saug-/Druckdichtung C-52 ;"EINK;VERK;SHOP";;1;St.;Fluidtechnik;Anschlußtechnik;Feuerlöschtechnik
1001736;Storz-DICHTUNG D/KA031 NBR;Saug-/Druckdichtung D-25 Storz DI.D.DS.NBR/D;"EINK;VERK;SHOP";;1;St.;Fluidtechnik;Anschlußtechnik;Feuerlöschtechnik
1001747;Bau+Industrieschlauch A/102x20 m.Kuppl.,natur,;bds. eingebunden mit LM-Saugkupplungen,;"EINK;VERK;SHOP";;1;St.;Schläuche;Wasserschlauch;Flachschläuche naturfarben, mit Kupplungen
1001755;Bau+Industrieschlauch B/75x20 m.Kuppl.,natur,;bds. eingebunden mit LM-Saugkupplungen,;"EINK;VERK;SHOP";;1;St.;Schläuche;Wasserschlauch;Flachschläuche naturfarben, mit Kupplungen
1001756;Bau+Industrieschlauch B/75x20 m.Kuppl.,EPDM,;natur, bds. eingebunden mit LM-Saugkupplungen,;"EINK;VERK;SHOP";;1;St.;Schläuche;Wasserschlauch;Flachschläuche naturfarben, mit Kupplungen > EPDM
1001760;Bau+Industrieschlauch C/52x05 m.Kuppl.,natur,;bds. eingebunden mit LM-Saugkupplungen,;"EINK;VERK;SHOP";;1;St.;Schläuche;Wasserschlauch;Flachschläuche naturfarben, mit Kupplungen
1001764;Bau+Industrieschlauch C/52x20 m.Kuppl.,natur,;bds. eingebunden mit LM-Saugkupplungen,;"EINK;VERK;SHOP";;1;St.;Schläuche;Wasserschlauch;Flachschläuche naturfarben, mit Kupplungen
1001765;Bau+Industrieschlauch C/52x25 m.Kuppl.,natur,;bds. eingebunden mit LM-Saugkupplungen,;"EINK;VERK;SHOP";;1;St.;Schläuche;Wasserschlauch;Flachschläuche naturfarben, mit Kupplungen
1001766;Bau+Industrieschlauch C/52x30 m.Kuppl.,natur,;bds. eingebunden mit LM-Saugkupplungen,;"EINK;VERK;SHOP";;1;St.;Schläuche;Wasserschlauch;Flachschläuche naturfarben, mit Kupplungen
1002231;11.300-6-E;Gerader Verbinder / Ms vernickelt für Schlauch-ø 6/4 / max.;"EINK;VERK;SHOP";11.300-6-E;1;St.;Pneumatik;Anschlußtechnik;Verbinder
